name,batch,stage,fit,one_liner,intern_roles,open_roles,challenge_type,challenge,challenge_url,website,yc_url,who_they_hire,talking_points
Nowadays,S23,Seed,high,AI-native platform for corporate meetings and events,Fall 2026 Intern,Founding Product Designer | Founding Software Engineer | Founding Product Engineer,none,,,https://www.nowadays.ai/careers,https://www.ycombinator.com/companies/nowadays,"Founding Product Designer, Founding SWE, Founding Product Engineer, and a Fall 2026 intern. High-ownership generalist intern, not a research seat.","Fall 2026 intern is listed — say you can own a full product slice, not tickets. | Designer+SWE hybrid stories are unusually on-brief here. | Ask what 'AI-native events' means in their actual customer workflow."
Soren,F25,Seed,high,Specialized AI for Real-World Deployment,Software Engineer Intern | Growth Intern,Founding Engineer,none,,,https://soren-ai.com/,https://www.ycombinator.com/companies/soren,"SWE intern, growth intern, and Founding Engineer. Multiple intern tracks on a tiny team.","You can pick SWE intern, growth intern, or founding eng — say which lane on the first sentence. | Talk private deployment, on-prem/VPC, and regulated-industry constraints. | Ask how they adapt a frontier model to one bank's SOPs without leaking data."
Datacurve,W24,Seed,high,Frontier coding data for training and evaluating LLMs,,Email careers@ / apply via site,interview_takehome,Historical coding take-home at takehome.datacurve.ai. Confirm with the team whether it is still the live intern screen.,https://takehome.datacurve.ai/,https://datacurve.ai/careers,https://www.ycombinator.com/companies/datacurve,Email careers; internships are not a clean public listing. Historical take-home still exists at takehome.datacurve.ai.,"If the take-home is still live, do it before the booth and bring results. | Competitive programming / hard coding-eval stories are the language they speak. | Ask what 'expert coding data' means for SWE-agent training vs. LeetCode dumps."
Veritus,S25,Seed,medium,AI agents for the consumer lending industry,,Forward Deployed Software Engineer | Full Stack Engineer,none,,,https://veritusagent.ai,https://www.ycombinator.com/companies/veritus,Forward-Deployed Engineer and Full Stack Engineer; new grads OK. No dedicated intern listing.,New grads are in-scope for FDE/fullstack even without an intern title. | Voice agents + regulated collections compliance is the core story. | Ask how they keep negotiation policies and state collections rules in the loop.
Hypercubic,F25,Seed,medium,Agentic AI for Mainframe Operations and Modernization,,Founding Software Engineer,public_challenge,"Try Hopper, Hypercubic's public mainframe-agent demo, then talk to founders about what you broke or shipped.",https://www.hypercubic.ai/hopper,https://www.hypercubic.ai/,https://www.ycombinator.com/companies/hypercubic,"Founding Software Engineer, new grads OK. Hopper is their public try-it surface.",Use Hopper before the booth so you have a concrete artifact to discuss. | COBOL/mainframe curiosity is a differentiator — most expo kids will skip this table. | Founding SWE is new-grad friendly; intern title is not the path.
Bluejay,P25,Seed,high,"Test, monitor, and improve your voice and chat AI agents",Software Engineer Intern,Member of Technical Staff | Senior Member of Technical Staff,public_challenge,Public $6k bounty for work on Bluejay's voice/chat agent testing platform.,https://getbluejay.ai/bounty,https://getbluejay.ai/,https://www.ycombinator.com/companies/bluejay,SWE intern plus MTS and Senior MTS. Public $6k bounty is the loudest intern signal at this expo.,"Do or at least read the $6k bounty before you walk up — that is the conversation starter. | Voice-agent evals, LiveKit/telephony, and failure-mode hunting are the technical hooks. | SWE intern is posted; bounty completion is the cheat code."
Bild AI,W25,Seed,high,"AI estimating & detailing for Division 8 doors, frames & hardware",AI/SWE Intern,Founding Product Engineer | Founding AI Engineer,none,,,https://bild.ai/,https://www.ycombinator.com/companies/bild-ai,AI/SWE intern plus founding product and founding AI engineer seats.,"Intern is listed — bring document-AI, takeoff, or construction-software stories. | Ask how they parse Division 8 specs vs. generic PDF Q&A. | Founding AI/product seats are open if you want more than a summer."
Code Four,P25,Seed,medium,Modernizing the police workflow.,,Founding Fullstack Software Engineer,none,,,https://www.codefour.us,https://www.ycombinator.com/companies/code-four,Founding Fullstack Software Engineer with 3+ years. No intern listing.,"3+ years fullstack is the posted bar — intern-only pitches will bounce. | Be ready to talk about public-sector constraints and source-linked evidence, not 'AI cop.' | Worth a stop if you have video/audio transcription + workflow product chops."
Artie,S23,Series A,low,Software that streams data from databases to warehouses in real-time,,Product Engineer | Senior Software Engineer,none,,,https://www.artie.com,https://www.ycombinator.com/companies/artie,Product Engineer and Senior SWE. No intern role.,No intern seat — skip unless you want full-time data-infra SWE. | Kafka/CDC/warehouse internals are the language; agent demos will miss. | Low priority relative to intern-heavy booths.
Crustdata,F24,Seed,high,Real-time B2B data via simple APIs,Forward-Deployed Engineer Intern | ML Intern | AI Intern,Founding Forward Deployed Engineer | Founding ML Engineer | Founding Product Engineer,interview_takehome,AI intern track uses a 3-hour assignment as the screen.,,https://crustdata.com,https://www.ycombinator.com/companies/crustdata,"FDE intern, ML intern, and AI intern. AI intern path includes a 3-hour assignment.",Three intern tracks — pick FDE vs ML vs AI before you walk up. | Ask what the 3-hour assignment covers and whether you can start it from the expo. | People/company data + agent tooling is the product; bring scraping/entity-resolution stories.
Innate,F24,Seed,medium,Personal AI Robots,Marketing Intern,,none,,,https://www.innate.bot,https://www.ycombinator.com/companies/innate,Marketing intern is the YC-listed intern. Engineering internships are not posted.,YC intern is marketing — only pitch SWE/robotics if a founder explicitly opens that door. | Consumer robot demos and social/content chops match the posted seat. | Ask whether expo conversations can unlock an unofficial eng intern.
Replit,W18,Growth,high,Collaborative in-browser IDE,Software Engineering Intern (via expo challenge / careers),See replit.com/careers,expo_sponsor,Expo coding-challenge sponsor. Completing the on-site/event challenge is supposed to guarantee interviews.,https://events.ycombinator.com/2027-summer-internship-expo,https://replit.com/careers,https://www.ycombinator.com/companies/replit,"Broad engineering hiring via replit.com/careers. Expo value is the sponsored coding challenge, not a single intern req.","Do the Replit-sponsored expo challenge first — it is the interview gate. | Talk Agent/IDE product sense, not 'I used Replit in class.' | Growth-stage bar; bring shipped projects and speed."
SID,S23,Seed,high,AI research lab for retrieval,Research Intern (Summer 2026),Research Engineer,none,,,https://sid.ai,https://www.ycombinator.com/companies/sid,"Research Intern (Summer 2026) and Research Engineer. High fit for ML/retrieval kids, not general fullstack.","Lead with retrieval, embeddings, or agentic search papers/projects — not a CRUD app. | Summer 2026 research intern is the listed seat; ask if fall 2026 is possible too. | Ask how their retrieval stack differs from off-the-shelf RAG."
Lance,W26,Seed,high,AI Agents That Run Hotel Operations.,Software Engineering Intern | GTM & Content Marketing Intern,Founding Software Engineer,none,,,https://lance.live,https://www.ycombinator.com/companies/lance,"Founding SWE (new grads OK), SWE intern, and GTM/content intern.","Two intern tracks plus founding SWE — say eng vs GTM immediately. | Hospitality ops, voice agents, or PMS integrations are gold. | New-grad founding SWE is explicitly open if you want more than an intern title."
Parahelp,S24,Series A,medium,Build an AI support agent that can use all your tools,,,none,,,https://www.parahelp.com,https://www.ycombinator.com/companies/parahelp,No open intern listing. Conversation is full-time unless a founder makes an exception.,No intern req — ask bluntly if they will create one from expo conversations. | Tool-using support agents and evals are the product language. | Lower priority than intern-listed agent companies unless you want full-time.
Partcl,P25,Seed,medium,Design a chip in minutes,,Founding Engineer (Systems + ML) | Backend EDA Compiler Engineer,none,,,https://partcl.com,https://www.ycombinator.com/companies/partcl,Founding Engineer (Systems + ML) and Backend EDA Compiler Engineer. New grads OK. No intern listing.,"New-grad founding seats exist, but they want compilers/GPU/EDA, not generic SWE. | Talk CUDA, STA, placement, or compiler internals if you have them. | No intern posting — pitch founding/new-grad, not a summer internship."
Relling,S25,Seed,high,deploying the first billion robots for manufacturing,Software Engineer Intern | Growth and Content Lead Intern,"Robot Learning Engineer | Partnerships Lead, Specialty Manufacturing",none,,,https://rellingsystems.com,https://www.ycombinator.com/companies/relling,"Robot Learning Engineer, SWE intern, growth/content intern, plus other founding-adjacent roles. New grads OK on several reqs.","Pick robot-learning vs SWE intern vs growth before you talk. | Bring imitation learning, factory automation, or real robot hours — not only sim screenshots. | High-ownership internships on a seed robotics team; ask what you would own in week one."
Laminar,F24,Seed,low,Enterprise systems delivery without the turbulence.,,Member of Technical Staff,none,,,https://www.laminar.com,https://www.ycombinator.com/companies/laminar-com,"Member of Technical Staff, 8+ years. No intern.",Do not confuse them with Laminar/lmnr.ai observability — they will notice. | 8+ years MTS bar; intern pitches are a miss unless a founder invites it. | Salesforce metadata/DevOps experience is the only strong opener.
CTGT,F24,Seed,high,The deterministic layer for frontier intelligence,Software Engineering Intern (Summer 2027) | Research Intern (interpretability artifact),Machine Learning Engineer: LLM Interpretability & Systems | Senior Software Engineer,expo_sponsor,Expo sponsor. Research intern path asks for an interpretability artifact; SWE intern is a standard application plus booth conversation.,,https://ctgt.ai,https://www.ycombinator.com/companies/ctgt,"SWE intern (Summer 2027), research intern (artifact-based), plus ML interpretability and senior SWE. Expo sponsor booth.","Bring a mech-interp notebook, steering/probe demo, or eval artifact if you want the research intern. | Summer 2027 SWE intern is posted — still worth meeting now for pipeline. | Ask how Policy Engine differs from RAG/fine-tune guardrails."
hillclimb,F25,Seed,high,Training Data for Recursive Self-Improvement,Research Engineer Intern | Software Engineer Intern,"Member of Technical Staff, Research",none,,,https://hillclimb.com,https://www.ycombinator.com/companies/hillclimb,"Research Engineer Intern and SWE Intern at $10k/mo, plus MTS Research.","Lead with contest math, Lean, or RL environments — that is the company. | $10k/mo intern is the number; treat it like a research-lab screen. | Ask what a good RSI training environment looks like vs. generic SFT data."
Velvet,F25,Seed,high,Infra and data for interactive AI.,Intern (unofficial; founder said hiring at expo),Founding Machine Learning Engineer | Research Scientist,none,,,https://www.ycombinator.com/companies/velvet,https://www.ycombinator.com/companies/velvet,"Founding ML Engineer (new grads OK), Research Scientist, and unofficial expo intern hiring.",Founder flagged intern hiring at this expo — ask directly and have a video/AV ML artifact. | New-grad founding ML is posted; intern may be created on the spot. | Interactive/video data > generic LLM fine-tunes.
Circleback,W24,Seed,high,AI-powered meeting notes and automations,Software Engineering Intern (Summer 2027),Software Engineer | Senior Software Engineer,none,,,https://circleback.ai,https://www.ycombinator.com/companies/circleback,Software Engineering Intern (Summer 2027) plus SWE and senior SWE.,"Summer 2027 intern is the posted seat — still network now for the pipeline. | Talk meeting-graph search, workflow automations, and transcription quality. | Ask whether they will consider Fall 2026 / Summer 2026 from expo conversations."
Respan,W24,Seed,high,"Self-driving observability, evals, and gateway for AI agents","Software Engineering Intern, Frontend (fall co-op)","Senior Software Engineer, Frontend | Software Engineer, AI",none,,,https://respan.ai,https://www.ycombinator.com/companies/respan,"Frontend fall co-op intern, plus senior frontend, SWE AI, and related roles.","Fall co-op frontend intern is the intern seat — UI/systems for traces and evals. | Call them Respan, not Keywords AI, unless they do first. | Ask how gateway + evals close the loop on production agent failures."
Surface Labs,S23,Seed,high,Building the AI-powered marketing ops platform that turns website traffic into pipeline,AI Content Intern | AI Ads Engineer Intern | AI GTM Engineer Intern,,none,,,https://www.withsurface.com,https://www.ycombinator.com/companies/surface-labs,"AI Content Intern, AI Ads Engineer Intern, and AI GTM Engineer Intern.","Pick one of the three intern tracks in your opener — content vs ads vs GTM. | Bring a growth/ads/content system you actually ran, not a brand essay. | Ask what 'AI marketing ops' owns vs. a human marketer."
primitive,P26,Seed,medium,communication for agents,,Founding Developer Relations (DevRel) Engineer | anything (new grads OK),apply_with_artifact,Demo their MCP (https://www.primitive.dev/mcp) — discover tools and show an agent sending/receiving mail. That is the application artifact.,https://www.primitive.dev/mcp,https://primitive.dev/,https://www.ycombinator.com/companies/primitive,Founding DevRel Engineer and an 'anything' new-grad seat. Demo the MCP.,Show a working MCP demo instead of a resume walkthrough. | DevRel + new-grad 'anything' means they hire people who ship public artifacts. | Ask how agent email differs from SendGrid/Resend transactional mail.
Allus AI,F25,Seed,high,Transforming manufacturing with our next-gen Vision Foundation Model,Software Engineer Internship,Founding AI Agent Engineer,none,,,https://allus.ai/,https://www.ycombinator.com/companies/allus-ai,Software Engineer Internship plus Founding AI Agent Engineer. Atlanta HQ; confirm SF/remote from the booth.,SWE internship is posted — CV + manufacturing vision is the hook. | Atlanta company at an SF expo; ask where the intern would sit. | Ask how few-shot line adaptation works vs. custom vision projects that take months.
Moda,W26,Seed,medium,The continual learning layer for AI agents.,,,none,,,https://moda.dev/,https://www.ycombinator.com/companies/moda,No public jobs. Expo conversation is the application.,"No reqs online — ask what they would hire an intern to own this fall. | Continual learning, online evals, and agent memory/improvement loops are the topics. | Treat as a founder coffee, not a posted intern pipeline."
Aemon,W26,Seed,high,The Forward-Deployed AI Research Engineer,Member of Technical Staff Intern 2027,,none,,,https://aemon.ai/,https://www.ycombinator.com/companies/aemon,"Member of Technical Staff Intern 2027 at $8–15k/mo. High bar, contest-kid shaped.",Lead with olympiad/CP/research artifacts; this intern is priced and filtered like a junior researcher. | $8–15k/mo for 2027 — still meet now if that is your profile. | Ask what 'AI R&D engineer' does on a live customer problem vs. a coding agent.
Industrial Next,W22,Seed,medium,Tesla autonomous manufacturing for everyone,,Senior Research,none,,,https://industrialnext.ai/,https://www.ycombinator.com/companies/industrial-next,Senior research. No intern listing.,No intern posting — only pitch if you have real robotics/manufacturing research depth. | Ask what a factory cell includes vs. a single robot arm demo. | Lower priority than Relling/Allus if you need an intern title.
Mem0,S24,Series A,medium,The Memory layer for AI Agents,,Developer Relations | Research Engineer - Agent Memory | Full Stack Engineer,interview_takehome,Historical intern take-home: build a local voice-controlled agent that uses memory. Confirm with the team whether this is still the live screen.,,https://mem0.ai/,https://www.ycombinator.com/companies/mem0,"Developer Relations, Research Engineer (Agent Memory), Full Stack Engineer. Historical intern take-home was a local voice-controlled agent.","No current intern req — ask if the historical voice-agent take-home is still how they screen interns. | OSS memory, graph retrieval, and agent state are the technical hooks. | DevRel is a real path if you have public Mem0/agent content."
Naïve,P25,Series A,high,Unified Agent Infrastructure,Software Engineering Intern | AI Computing Research Intern | Growth Engineer Intern,Member of Technical Staff,interview_takehome,48-hour take-home assignment used in the intern/hiring process.,,https://usenaive.ai/,https://www.ycombinator.com/companies/naive,"SWE intern, research intern, growth intern, plus MTS. 48-hour take-home is the screen.","Three intern tracks — pick SWE, research, or growth in the first sentence. | Ask for the 48h take-home at the booth if they will open it from the expo. | Talk agent identity, payments, and tool infra, not a chatbot UI."
Y/n,S23,Series A,medium,Play your story,,Founding Engineer | Software Engineer,interview_takehome,Possible interview take-home. Confirm at the booth; not a public bounty.,,https://yn.app/,https://www.ycombinator.com/companies/yn,Founding Engineer and Software Engineer. Possible take-home. Intern not clearly posted.,"Consumer interactive-story product — bring product/game/narrative systems, not infra flexing. | Ask whether they will intern from the expo or only full-time SWE. | If they mention a take-home, do it fast; consumer teams move on taste + speed."
Enhanced Radar,W25,Seed,high,AI for air traffic control,,All roles (email join@enhancedradar.com),none,,,https://enhancedradar.com/,https://www.ycombinator.com/companies/enhanced-radar,"All roles via join@enhancedradar.com. High fit if you have aviation, radar, or safety-critical systems background.","Email join@enhancedradar.com and mention you are at the expo. | Pilot certs, ATC, radar, or safety-critical C++/Rust are the differentiators. | Two-person team — intern vs founding is a conversation, not a req database."
Stellar Sleep,S23,Seed,medium,"We help people with chronic insomnia sleep better, using psychology.",Intern (unofficial),Founding Product Engineer,interview_takehome,Founding product-engineer take-home. Intern path is unofficial; ask at the booth.,,https://stellarsleep.com/,https://www.ycombinator.com/companies/stellar-sleep,Founding Product Engineer with take-home. Intern role exists unofficially — ask in person.,Ask about the unofficial intern — it will not be obvious from YC jobs. | Health/CBT-I product sense matters more than model trivia. | Boston company; confirm location before chasing the PE take-home.
Parameter (fka Hex Security),W26,Seed,high,Agentic Offensive Security at Scale,,Member of Technical Staff | Member of Security Staff,none,,,https://www.parameter.ai/,https://www.ycombinator.com/companies/hex-security,Member of Technical Staff and Member of Security Staff; new grads OK. No intern listing.,"Call them Parameter, not Hex, unless they do. | New-grad MTS is the path — intern title may not exist. | CTF/pentest/agent-tool-use stories are the opener; stay on authorized, defensive framing."
Dedalus Labs,S25,Seed,high,Compute substrate for AI agents,Product Manager Summer 2027 Intern | Growth Summer 2027 Intern | Systems Engineer Summer 2027 Intern,,expo_sponsor,Expo popup sponsor/activation. Meet them on-site; intern reqs are Summer 2027 but the popup is the now conversation.,,https://dedaluslabs.ai/,https://www.ycombinator.com/companies/dedalus-labs,"PM intern, Growth intern, and Systems Engineer intern for Summer 2027, plus other roles. Expo popup is the live motion.",Find the popup — that is the intended intern funnel. | Pick PM vs growth vs systems intern; do not give a generic 'I'll do anything.' | MCP + long-running agent VMs is the product; bring a tool-using agent demo.
Domu,S24,Series A,low,AI Agents for collections,,Software Engineer Brazil | Software Engineer - South Africa | Senior Software Engineer,none,,,https://domu.ai/,https://www.ycombinator.com/companies/domu-technology-inc,"Software Engineer Brazil, Software Engineer South Africa, Senior Software Engineer SF (3+ years). No intern.",SF senior 3+ years or Brazil/SA SWE — US intern is the wrong ask. | Skip unless you match those geos/levels. | Collections voice agents if you are full-time and in-geo.
Pure,S23,Series A,high,Marketplace for Rare Coins & Precious Metals,Product Engineering Intern (Summer 2027) | Growth Marketing Intern,Full-Stack Software Engineer,none,,,https://collectpure.com/,https://www.ycombinator.com/companies/pure,"Product Engineering Intern (Summer 2027), Growth Marketing Intern, Full-Stack Software Engineer. LA company.",Marketplace/product intern energy — not an LLM research pitch. | Confirm LA vs remote; they are not an SF AI lab. | Growth intern vs PE intern: pick one and show a shipped consumer/marketplace artifact.
Garage,W24,Series A,medium,Marketplace for America's most essential assets,Software Engineering Intern (take-home; confirm current listing),"Founding Design Engineer | Software Engineer | Software Engineer, Growth",expo_sponsor,Expo sponsor plus an intern take-home. Complete the sponsor/on-site flow and ask for the intern assignment.,,https://shopgarage.com/,https://www.ycombinator.com/companies/garage-2,"Founding Design Engineer, Software Engineer, Software Engineer Growth. Expo sponsor; intern take-home exists. NYC-based — medium fit if you need SF.",NYC company — ask location before investing the take-home. | Do the expo-sponsor challenge/take-home; that is the intern path. | Marketplace/growth SWE and design-eng hybrids fit better than research ML.
Clipboard,W17,Growth,high,"Every shift, Covered.",Engineering Intern,Technical Support Engineer,interview_takehome,TSE hiring uses a case study. Engineering intern is a separate posted intern seat.,,https://www.clipboardhealth.com/,https://www.ycombinator.com/companies/clipboard,"Engineering Intern and Technical Support Engineer (case study). Scaled marketplace, not a 4-person seed.","Engineering intern is posted — say intern vs TSE case-study path immediately. | Healthcare staffing marketplace problems (matching, reliability, ops) over model research. | Large company at a seed-heavy expo; process will feel more formal."
Corgi Insurance,S24,Unicorn,medium,Corgi is building an AI financial infrastructure company,Software Engineer Intern (listing may be stale),"Software Engineer | Senior Software Engineer, Trucking Insurance | Sales Engineer",interview_takehome,Work trial is the main full-time loop. Do not rely on the intern listing without confirming it is live.,,https://www.corgi.insure/,https://www.ycombinator.com/companies/corgi-insurance,"Many SWE roles (including trucking insurance), sales engineer, work trials. Intern listing may be stale.","Ask whether the intern req is real before spending a work-trial cycle. | In-person recruiting has worked here — the expo is on-brand. | Insurance/fintech SWE and work-trial stamina, not a research pitch."
Mount,P26,Seed,medium,AI agent insurance,,,expo_sponsor,Expo challenge sponsor. Complete the on-site Mount challenge for guaranteed visibility with the team.,https://events.ycombinator.com/2027-summer-internship-expo,https://mount.insure,https://www.ycombinator.com/companies/mount,Expo challenge sponsor. Treat the on-site challenge as the intern/hiring funnel until a req is posted.,Do the sponsor challenge even if they are not on your core intern list. | Agent-economy insurance is a unique angle — ask what a claim looks like when an agent acts. | P26 seed: intern vs founding is likely invented from strong challenge finishes.
